Время: 0; Значение: 10000
Время: 2; Значение: 9874.794
Время: 4; Значение: 9751.15
Время: 6; Значение: 9629.055
Время: 8; Значение: 9508.489
Время: 10; Значение: 9389.432
Время: 12; Значение: 9271.865
Время: 14; Значение: 9155.771
Время: 16; Значение: 9041.131
Время: 18; Значение: 8927.926
Время: 20; Значение: 8816.138
Время: 22; Значение: 8705.75
Время: 24; Значение: 8596.745
Время: 26; Значение: 8489.104
Время: 28; Значение: 8382.811
Время: 30; Значение: 8277.849
Время: 32; Значение: 8174.201
Время: 34; Значение: 8071.851
Время: 36; Значение: 7970.782
Время: 38; Значение: 7870.979
Время: 40; Значение: 7772.425
Время: 42; Значение: 7675.106
Время: 44; Значение: 7579.005
Время: 46; Значение: 7484.107
Время: 48; Значение: 7390.398
Время: 50; Значение: 7297.862
